nodename,batch,task,solution,data,timestamp,finished
mr-0xc11,1542289046,groupby,pydatatable,G1_1e9_1e2_0_1.csv,1542292747.62356,1
mr-0xc11,1543402043,groupby,datatable,G1_1e7_1e2_0_0.csv,1543402451.45014,0
mr-0xc11,1543402043,groupby,datatable,G1_1e7_1e2_0_0.csv,1543402471.14442,1
mr-0xc11,1543402043,groupby,datatable,G1_1e8_1e2_0_0.csv,1543402471.37006,0
mr-0xc11,1543402043,groupby,datatable,G1_1e8_1e2_0_0.csv,1543402649.77243,1
mr-0xc11,1543402043,groupby,datatable,G1_1e9_1e2_0_0.csv,1543402649.98565,0
mr-0xc11,1543402043,groupby,datatable,G1_1e9_1e2_0_0.csv,1543404583.7015,1
mr-0xc11,1543402043,groupby,datatable,G1_1e7_1e1_0_0.csv,1543404583.944,0
mr-0xc11,1543402043,groupby,datatable,G1_1e7_1e1_0_0.csv,1543404616.39484,1
mr-0xc11,1543402043,groupby,datatable,G1_1e8_1e1_0_0.csv,1543404616.61248,0
mr-0xc11,1543402043,groupby,datatable,G1_1e8_1e1_0_0.csv,1543404939.82886,1
mr-0xc11,1543402043,groupby,datatable,G1_1e9_1e1_0_0.csv,1543404940.02204,0
mr-0xc11,1543402043,groupby,datatable,G1_1e9_1e1_0_0.csv,1543408748.61353,1
mr-0xc11,1543402043,groupby,datatable,G1_1e7_2e0_0_0.csv,1543408748.84325,0
mr-0xc11,1543402043,groupby,datatable,G1_1e7_2e0_0_0.csv,1543408816.10813,1
mr-0xc11,1543402043,groupby,datatable,G1_1e8_2e0_0_0.csv,1543408816.32334,0
mr-0xc11,1543402043,groupby,datatable,G1_1e8_2e0_0_0.csv,1543409560.32394,1
mr-0xc11,1543402043,groupby,datatable,G1_1e9_2e0_0_0.csv,1543409560.53985,0
mr-0xc11,1543402043,groupby,datatable,G1_1e9_2e0_0_0.csv,1543420125.12068,1
mr-0xc11,1543402043,groupby,datatable,G1_1e7_1e2_0_1.csv,1543420125.35166,0
mr-0xc11,1543402043,groupby,datatable,G1_1e7_1e2_0_1.csv,1543420147.95228,1
mr-0xc11,1543402043,groupby,datatable,G1_1e8_1e2_0_1.csv,1543420148.16378,0
mr-0xc11,1543402043,groupby,datatable,G1_1e8_1e2_0_1.csv,1543420334.53273,1
mr-0xc11,1543402043,groupby,datatable,G1_1e9_1e2_0_1.csv,1543420334.74511,0
mr-0xc11,1543402043,groupby,datatable,G1_1e9_1e2_0_1.csv,1543421815.39739,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e7_1e2_0_0.csv,1543463073.6762,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e7_1e2_0_0.csv,1543463083.91295,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e8_1e2_0_0.csv,1543463084.10668,0
mr-0xc11,1543462943,groupby,pydatatable,G1_1e8_1e2_0_0.csv,1543463182.87029,1
mr-0xc11,1543462943,groupby,pydatatable,G1_1e9_1e2_0_0.csv,1543463183.06943,0
